2012.00000      5.29
2012.00273      7.11
2012.00546      6.41
2012.00820      6.90
2012.01093      6.16
2012.01366      6.62
2012.01639      7.65
2012.01913      4.92
2012.02186      4.52
2012.02459      4.93
2012.02732      5.13
2012.03005      6.36
2012.03279      6.35
2012.03552      4.66
2012.03825      5.06
2012.04098      6.64
2012.04372      4.74
2012.04645      3.85
2012.04918      4.09
2012.05191      3.56
2012.05464      4.42
2012.05738      5.53
2012.06011      5.30
2012.06284      1.51
2012.06557      4.40
2012.06831      3.52
2012.07104      4.73
2012.07377      3.06
2012.07650      3.24
2012.07923      6.86
2012.08197      5.16
2012.08470      4.72
2012.08743      3.84
2012.09016      3.29
2012.09290      3.04
2012.09563      6.22
2012.09836      5.90
2012.10109      6.90
2012.10383      5.88
2012.10656      5.74
2012.10929      7.02
2012.11202      5.71
2012.11475      7.82
2012.11749      6.04
2012.12022      6.27
2012.12295      9.82
2012.12568      4.65
2012.12842      6.51
2012.13115      3.15
2012.13388      3.25
2012.13661      5.55
2012.13934      6.87
2012.14208      6.88
2012.14481      5.99
2012.14754      6.65
2012.15027      5.66
2012.15301      4.88
2012.15574      4.73
2012.15847      2.72
2012.16120      2.97
2012.16393      4.30
2012.16667      1.87
2012.16940      2.19
2012.17213      2.67
2012.17486      3.99
2012.17760      4.85
2012.18033      2.10
2012.18306      1.73
2012.18579      4.03
2012.18852      5.10
2012.19126      5.56
2012.19399      4.51
2012.19672      3.26
2012.19945      2.85
2012.20219      2.74
2012.20492      0.42
2012.20765      1.70
2012.21038      4.36
2012.21311      2.06
2012.21585     -0.45
2012.21858      2.69
2012.22131     -0.24
2012.22404      3.05
2012.22678      3.61
2012.22951      1.22
2012.23224     -0.01
2012.23497      0.79
2012.23770      0.42
2012.24044      4.56
2012.24317      3.58
2012.24590      1.60
2012.24863      2.92
2012.25137     -1.56
2012.25410      2.33
2012.25683     -0.18
2012.25956      3.57
2012.26230      2.27
2012.26503      2.28
2012.26776      0.58
2012.27049      1.88
2012.27322      0.42
2012.27596      3.17
2012.27869      1.84
2012.28142      2.61
2012.28415     -0.14
2012.28689      1.39
2012.28962      0.90
2012.29235      4.73
2012.29508      3.55
2012.29781      1.85
2012.30055      3.81
2012.30328      3.22
2012.30601      4.68
2012.30874      4.90
2012.31148      6.09
2012.31421      4.97
2012.31694      2.90
2012.31967      2.75
2012.32240      5.52
2012.32514      3.09
2012.32787      5.56
2012.33060      7.29
2012.33333      3.18
2012.33607      2.33
2012.33880      7.71
2012.34153      4.39
2012.34426      4.99
2012.34699      4.76
2012.34973      3.24
2012.35246      5.42
2012.35519      3.22
2012.35792      0.90
2012.36066      2.05
2012.36339      5.38
2012.36612      5.44
2012.36885      3.42
2012.37158      4.09
2012.37432      3.59
2012.37705      0.60
2012.37978      3.67
2012.38251      3.31
2012.38525      4.26
2012.38798      5.25
2012.39071      1.37
2012.39344      5.20
2012.39617      4.08
2012.39891      4.84
2012.40164      5.11
2012.40437     -0.17
2012.40710      4.47
2012.40984      1.72
2012.41257      7.22
2012.41530      0.87
2012.41803      2.85
2012.42077      5.73
2012.42350      4.50
2012.42623     -0.01
2012.42896      2.18
2012.43169      3.25
2012.43443      3.98
2012.43716      3.08
2012.53005      4.36
2012.53279      2.48
2012.53552      0.24
2012.53825     -0.88
2012.54098      3.02
2012.54372      2.87
2012.54645     -0.07
2012.54918      3.34
2012.55191      0.50
2012.55464     -2.49
2012.55738      2.49
2012.56011      1.28
2012.56284      1.21
2012.56557      4.78
2012.56831      4.91
2012.57104      5.20
2012.57377      1.65
2012.57650      3.29
2012.57923      3.41
2012.58197      1.13
2012.58470      3.57
2012.58743      3.34
2012.59016      3.71
2012.59563      4.32
2012.59836      1.65
2012.60109      1.13
2012.60929      3.48
2012.61202      2.65
2012.61475      2.88
2012.61749      5.25
2012.62022      1.17
2012.62295      1.71
2012.62568     -0.30
2012.62842      2.82
2012.63115      3.99
2012.63388      9.05
2012.63661      2.25
2012.63934      3.96
2012.64208      6.55
2012.64481      4.66
2012.64754      6.91
2012.65027      3.83
2012.65301      4.40
2012.65574      1.23
2012.65847      0.12
2012.66120      1.77
2012.66393      7.33
2012.66667      7.14
2012.66940      0.40
2012.67213      2.45
2012.67486      0.59
2012.67760      3.64
2012.68033      4.22
2012.68306      1.96
2012.68579      4.24
2012.68852      5.87
2012.69126     -0.03
2012.69399      2.17
2012.69672      3.90
2012.69945      4.08
2012.70219     -0.35
2012.70492     -1.61
2012.70765     -0.06
2012.71038     -0.07
2012.71311     -0.69
2012.71585     -1.20
2012.71858      1.65
2012.72131     -1.57
2012.72404      2.68
2012.72678      0.93
2012.73224     -1.00
2012.73497      1.56
2012.73770     -0.40
2012.74044      1.80
2012.74317      0.78
2012.74590      1.08
2012.74863      0.13
2012.75137      0.47
2012.75410      2.83
2012.75683      3.15
2012.75956      2.94
2012.76230      2.51
2012.76503     -3.21
2012.76776      1.13
2012.77049      0.95
2012.77322     -0.53
2012.77596     -1.69
2012.77869      0.42
2012.78142      1.01
2012.78415     -0.39
2012.78689     -1.96
2012.78962     -0.90
2012.79235      1.27
2012.79508      2.26
2012.79781      1.01
2012.80055     -0.45
2012.80328     -0.99
2012.80601      1.40
2012.80874      1.54
2012.81148      0.48
2012.81421     -0.29
2012.81694      0.17
2012.81967      2.87
2012.82240      5.19
2012.82514     -0.07
2012.82787      0.72
2012.83060     -0.83
2012.83333      0.27
2012.83607     -0.01
2012.83880     -0.97
2012.84153     -0.38
2012.84426      1.06
2012.84699      0.21
2012.84973      1.83
2012.85246      1.74
2012.85519      0.94
2012.85792     -0.43
2012.86066      1.27
2012.86339      1.03
2012.86612      2.28
2012.86885     -0.01
2012.87158     -1.09
2012.87432     -1.98
2012.87705      0.83
2012.87978     -2.64
2012.88251     -0.25
2012.88525      0.66
2012.88798      1.03
2012.89071      0.64
2012.89344     -3.15
2012.89617     -2.20
2012.89891     -1.40
2012.90164     -2.05
2012.90437      2.88
2012.90710     -0.85
2012.90984     -1.34
2012.91257      0.06
2012.91530     -0.09
2012.91803     -1.14
2012.92077     -0.99
2012.92350      0.99
2012.92623     -0.41
2012.92896     -1.88
2012.93169     -1.73
2012.93443      0.94
2012.93716      0.55
2012.93989      3.09
2012.94262      0.22
2012.94536      2.17
2012.94809      2.03
2012.95082      2.27
2012.95355      1.31
2012.95628      2.38
2012.95902      0.59
2012.96175      1.96
2012.96448     -1.09
2012.96721      0.72
2012.96995     -0.15
2012.97268      1.68
2012.97541      0.80
2012.97814     -1.94
2012.98087     -1.38
2012.98361      0.28
2012.98634      0.94
2012.98907     -0.31
2012.99180      1.96
2012.99454     -0.08
2012.99727      1.52
2013.00000      0.29
2013.00274     -2.05
2013.00548      0.64
2013.00822     -0.03
2013.01096      1.04
2013.01370     -2.15
2013.01644     -0.38
2013.01918     -1.79
2013.02192      0.53
2013.02466      0.31
2013.02740      0.89
2013.03014      0.67
2013.03288     -1.18
2013.03562      2.72
2013.03836      0.71
2013.04110     -1.27
2013.04384     -0.56
2013.04658     -0.60
2013.04932     -0.47
2013.05205      0.08
2013.05479     -1.54
2013.05753     -0.76
2013.06027     -1.20
2013.06301     -0.97
2013.06575     -0.67
2013.06849     -0.48
2013.07123     -1.17
2013.07397     -0.76
2013.07671     -3.02
2013.07945     -2.66
2013.08219     -2.19
