2012.00000	   2.480	   8.760
2012.00273	   1.680	   8.780
2012.00546	   4.280	   8.480
2012.00820	   1.720	   8.590
2012.01093	   6.240	   8.910
2012.01366	   0.940	   8.760
2012.01639	   1.750	   8.670
2012.01913	  -0.380	   8.210
2012.02186	  -2.080	   8.600
2012.02459	  -1.760	   9.280
2012.02732	  -0.460	   9.340
2012.03005	  -0.890	   9.820
2012.03279	   1.650	   8.610
2012.03552	   4.090	   8.470
2012.03825	   5.090	   8.760
2012.04098	   6.220	   8.970
2012.04372	   5.060	  10.440
2012.04645	   4.910	   9.610
2012.04918	   6.010	   8.890
2012.05191	   1.640	   9.520
2012.05464	   9.590	  13.040
2012.08197	   5.110	   9.740
2012.08470	   8.270	   8.140
2012.08743	   7.000	   8.720
2012.09016	   4.380	   8.740
2012.09290	   9.990	   8.350
2012.09563	  13.400	   8.820
2012.09836	  13.100	   9.930
2012.10109	  10.520	  12.700
2012.10383	  11.200	  10.560
2012.10656	  14.480	   8.370
2012.10929	  10.190	   8.130
2012.11202	  13.850	   8.370
2012.11475	   6.970	   8.630
2012.11749	   8.760	   8.890
2012.12022	  20.250	  10.250
2012.12295	  12.900	   9.540
2012.12568	  15.040	  13.800
2012.12842	   4.240	  10.020
2012.13115	  12.570	   8.300
2012.13388	  12.800	   9.840
2012.13661	  14.500	  10.250
2012.13934	  17.360	   9.950
2012.14208	  14.450	  11.490
2012.14481	  11.510	  11.410
2012.14754	  21.570	  21.230
2012.16393	   8.140	   9.900
2012.16667	  13.380	  12.520
2012.16940	  10.220	  10.500
2012.17213	   9.700	   9.960
2012.17486	   7.690	  10.830
2012.17760	   6.010	  11.360
2012.18033	   6.340	  11.740
2012.18306	  10.770	  10.200
2012.18579	   9.180	  10.870
2012.18852	   8.730	  10.380
2012.19126	  15.400	   9.650
2012.19399	   5.720	  10.050
2012.19672	   9.820	  11.130
2012.19945	   4.660	   9.520
2012.20219	   0.640	   9.020
2012.20492	   0.980	   9.320
2012.20765	   8.880	  12.230
2012.21038	  -5.140	  11.170
2012.21311	  -0.920	  10.840
2012.21585	  -1.570	   9.810
2012.21858	   4.660	  10.700
2012.22131	  -0.130	   9.860
2012.22404	  12.650	   9.790
2012.22678	   0.520	  13.090
2012.22951	   2.180	  10.330
2012.23224	   9.610	  10.880
2012.23497	   2.360	  12.130
2012.23770	   1.220	  10.130
2012.24044	   1.320	  12.760
2012.24317	  13.320	  10.910
2012.24590	   7.530	   9.700
2012.24863	  -4.410	  10.030
2012.25137	   3.650	  10.070
2012.25410	  13.110	  10.930
2012.25683	   5.390	  10.530
2012.25956	  17.200	  10.030
2012.26230	   4.420	   9.970
2012.26503	  10.470	  11.220
2012.26776	   2.980	  10.490
2012.27049	   5.000	   9.830
2012.27322	   2.340	  10.620
2012.27596	   9.270	  10.210
2012.27869	   6.350	  10.810
2012.28142	   8.090	  12.310
2012.28415	  10.440	  12.650
2012.28689	   8.920	   9.940
2012.28962	   9.860	  10.530
2012.29235	  10.630	  12.130
2012.29508	   3.300	  11.870
2012.29781	   1.870	  10.790
2012.30055	   6.950	  10.880
2012.30328	  -1.270	  13.680
2012.30601	   8.220	  12.490
2012.30874	  14.480	   9.950
2012.31148	   2.950	  13.350
2012.31421	  12.880	  11.530
2012.31694	   2.590	  27.080
2012.31967	  12.640	  14.140
2012.32240	   1.050	  13.530
2012.32514	  10.460	  10.460
2012.32787	  -5.560	  15.260
2012.33060	  17.170	  13.150
2012.33333	   2.810	  16.240
2012.33607	  -7.600	  18.420
2012.33880	   1.860	  14.320
2012.34153	   0.700	  12.120
2012.34426	   4.980	  10.570
