2016.51093 -102.67    4.49
2016.51366  -99.58    4.16
2016.51639 -102.83    4.84
2016.52186 -101.87    3.69
2016.52459 -102.06    3.62
2016.52732 -102.05    3.70
2016.53005 -104.53    3.69
2016.53279 -102.78    3.72
2016.53552 -100.40    4.25
2016.53825 -105.78    3.33
2016.54098 -104.99    3.54
2016.54372 -100.91    4.49
2016.54645 -106.55    3.88
2016.54918 -102.01    3.74
2016.55191 -105.70    4.95
2016.55464 -103.59    3.86
2016.55738 -102.65    3.16
2016.56011 -103.79    3.14
2016.56284 -107.77    4.25
2016.56557 -103.87    3.40
2016.56831 -104.10    4.16
2016.57104 -106.50    3.65
2016.57377 -106.04    3.47
2016.57650 -108.01    3.79
2016.57923 -103.47    3.66
2016.58197 -112.41    3.96
2016.58470 -107.07    4.38
2016.58743 -107.78    3.62
2016.59016 -106.22    3.52
2016.59290 -106.15    2.93
2016.59563 -103.55    3.10
2016.59836 -105.96    4.36
2016.60109 -109.16    4.14
2016.60383 -106.32    3.57
2016.60656 -107.78    4.19
2016.60929 -102.53    4.18
2016.61202 -106.09    3.54
2016.61475 -105.12    3.36
2016.61749 -107.13    3.21
2016.62022 -110.03    3.80
2016.62295 -107.18    3.61
2016.62568 -106.68    3.12
2016.62842 -108.77    3.19
2016.63115 -103.91    3.53
2016.63388 -107.29    3.83
2016.63661 -109.87    3.50
2016.63934 -111.34    3.60
2016.64208 -108.08    3.72
2016.64481 -109.17    4.67
2016.64754 -103.96    3.75
2016.65027 -106.39    4.08
2016.65301 -105.99    4.49
2016.65574 -105.45    4.88
2016.65847 -107.04    3.83
2016.66120 -107.79    3.90
2016.66393 -108.50    3.32
2016.66667 -109.17    3.94
2016.66940 -108.21    3.10
2016.67213 -108.77    4.41
2016.67486 -105.05    3.42
2016.67760 -106.26    3.96
2016.68033 -111.88    4.32
2016.68306 -108.62    3.89
2016.68579 -108.72    3.04
2016.68852 -105.89    3.12
2016.69126 -108.59    3.51
2016.69399 -108.59    3.53
2016.69672 -105.19    3.63
2016.69945 -104.45    3.23
2016.70219 -108.63    4.01
2016.70492 -110.89    5.71
2016.70765 -109.22    3.97
2016.71038 -107.92    4.16
2016.71311 -109.22    3.81
2016.71585 -108.28    3.15
2016.71858 -108.05    3.20
2016.72131 -108.59    3.30
2016.72404 -109.90    3.13
2016.72678 -104.08    4.14
2016.72951 -107.66    3.34
2016.73224 -107.35    3.10
2016.73497 -107.71    3.35
2016.73770 -104.34    4.68
2016.74044 -111.19    5.66
2016.74317 -109.60    4.71
2016.74590 -106.27    3.75
2016.74863 -102.74    3.91
2016.75137 -106.09    4.07
2016.75410 -108.63    3.65
2016.75683 -106.72    3.32
2016.75956 -111.45    3.81
2016.76230 -109.56    4.59
2016.76503 -111.03    4.22
2016.76776 -106.00    3.70
2016.77049 -107.94    3.44
2016.77322 -109.42    2.91
2016.77596 -111.51    2.88
2016.77869 -107.19    3.95
2016.78142 -108.96    3.99
2016.78415 -108.57    3.44
2016.78689 -111.14    3.65
2016.79235 -107.72    4.26
2016.79508 -106.32    4.32
2016.79781 -106.42    4.13
2016.80055 -107.72    4.84
2016.80328 -114.37    6.13
2016.80601 -112.05    3.69
2016.80874 -108.97    3.49
2016.81148 -104.55    3.45
2016.81421 -112.36    2.78
2016.81694 -108.51    3.60
2016.81967 -112.67    3.11
2016.82240 -111.86    2.96
2016.82514 -111.04    3.71
2016.82787 -109.82    3.04
2016.83060 -110.79    2.92
2016.83333 -109.37    3.03
2016.83607 -110.78    2.88
2016.83880 -111.26    2.88
2016.84153 -109.75    2.98
2016.84426 -109.62    4.10
2016.84699 -108.89    2.97
2016.84973 -108.42    3.47
2016.85246 -109.19    3.04
2016.85519 -109.14    2.80
2016.85792 -111.33    2.68
2016.86066 -109.88    3.20
2016.86339 -111.60    2.98
2016.86612 -110.29    2.78
2016.86885 -112.13    2.76
2016.87158 -111.25    2.86
2016.87432 -109.02    2.95
2016.87705 -112.20    2.76
2016.87978 -110.71    3.32
2016.88251 -111.86    3.35
2016.88525 -110.65    3.16
2016.88798 -111.44    3.18
2016.89071 -110.00    2.93
2016.89344 -105.94    2.98
2016.89617 -109.90    3.03
2016.89891 -109.63    2.93
2016.90164 -108.06    3.10
2016.90437 -110.42    3.18
2016.90710 -104.67    3.44
2016.90984 -106.83    2.98
2016.91257 -106.46    3.28
2016.91530 -111.46    3.95
2016.91803 -108.45    3.13
2016.92077 -109.53    2.87
2016.92350 -109.90    3.17
2016.92623 -109.76    2.89
2016.92896 -110.37    3.28
2016.93169 -110.01    3.07
2016.93443 -108.76    3.18
2016.93716 -107.53    3.04
2016.93989 -108.53    3.14
2016.94262 -106.78    3.23
2016.94536 -112.88    3.04
2016.94809 -111.37    3.00
2016.95082 -110.14    2.82
2016.95355 -109.51    2.56
2016.95628 -110.48    2.72
2016.95902 -109.22    2.85
2016.96175 -112.57    2.67
2016.96448 -109.54    2.90
2016.96721 -111.77    3.02
