2015.44932 -254.32    4.24                          
2015.45205 -254.73    5.27                          
2015.45479 -256.00    4.03                          
2015.45753 -254.60    4.50                          
2015.46027 -256.71    3.62                          
2015.46301 -253.63    3.70                          
2015.46575 -249.44    4.38                          
2015.46849 -252.77    3.92                          
2015.47123 -259.53    4.70                          
2015.47397 -257.58    4.17                          
2015.47671 -252.18    3.61                          
2015.47945 -258.59    4.58                          
2015.48219 -252.12    3.76                          
2015.48493 -255.26    3.60                          
2015.48767 -255.29    4.21                          
2015.49041 -255.05    3.53                          
2015.49315 -254.72    3.49                          
2015.49589 -257.48    3.76                          
2015.49863 -254.41    3.71                          
2015.50137 -255.08    5.05                          
2015.50411 -253.90    4.38                          
2015.50685 -253.63    6.67                          
2015.50959 -252.35    3.90                          
2015.51233 -253.34    3.73                          
2015.51507 -255.14    3.86                          
2015.51781 -254.66    4.94                          
2015.52055 -250.62    4.41                          
2015.52329 -249.86    3.95                          
2015.52603 -252.09    3.27                          
2015.52877 -252.03    4.33                          
2015.53151 -256.55    3.83                          
2015.53425 -255.01    3.17                          
2015.53699 -250.50    3.74                          
2015.53973 -252.01    3.21                          
2015.54247 -251.98    3.50                          
2015.54521 -250.19    3.77                          
2015.54795 -252.78    4.08                          
2015.55068 -256.99    3.21                          
2015.55342 -252.58    3.76                          
2015.55616 -254.07    3.50                          
2015.55890 -252.67    3.62                          
2015.56164 -255.29    3.94                          
2015.56438 -256.11    3.68                          
2015.56712 -253.57    3.89                          
2015.56986 -257.26    4.31                          
2015.57260 -259.34    4.31                          
2015.57534 -252.12    3.90                          
2015.57808 -255.88    4.36                          
2015.58082 -252.19    4.29                          
2015.58356 -249.90    4.04                          
2015.58630 -250.94    4.09                          
2015.58904 -252.88    3.12                          
2015.59178 -255.04    3.61                          
2015.59452 -251.57    3.95                          
2015.59726 -252.97    4.53                          
2015.60000 -252.58    4.58                          
2015.60274 -250.60    4.88                          
2015.60548 -250.65    4.82                          
2015.60822 -251.99    4.54                          
2015.61096 -253.25    4.05                          
2015.61370 -250.37    4.07                          
2015.61644 -253.64    4.02                          
2015.61918 -249.78    3.49                          
2015.62192 -252.72    3.50                          
2015.62466 -250.27    3.59                          
2015.62740 -247.68    3.46                          
2015.63014 -250.66    4.34                          
2015.63288 -250.46    3.78                          
2015.63562 -248.65    3.73                          
2015.63836 -252.91    4.60                          
2015.64110 -248.73    4.39                          
2015.64384 -250.94    4.09                          
2015.64658 -251.68    3.95                          
2015.64932 -250.11    4.11                          
2015.65205 -251.43    3.40                          
2015.65479 -252.79    3.33                          
2015.65753 -254.66    3.40                          
2015.66027 -251.99    3.17                          
2015.66301 -252.91    3.08                          
2015.66575 -252.43    3.06                          
2015.66849 -252.22    3.58                          
2015.67123 -258.39    3.20                          
2015.67397 -255.11    3.09                          
2015.67671 -251.27    3.11                          
2015.67945 -253.68    3.11                          
2015.68219 -253.30    4.14                          
2015.68493 -253.05    3.98                          
2015.68767 -253.73    3.46                          
2015.69041 -253.92    3.49                          
2015.69315 -254.30    3.07                          
2015.69589 -250.41    3.44                          
2015.69863 -255.64    3.71                          
2015.70137 -253.94    3.74                          
2015.70411 -252.67    3.98                          
2015.70685 -253.02    3.48                          
2015.70959 -257.42    3.70                          
2015.71233 -257.50    3.11                          
2015.71507 -257.61    2.87                          
2015.71781 -254.36    2.66                          
2015.72055 -253.75    2.94                          
2015.72329 -255.27    2.67                          
2015.72603 -256.91    2.80                          
2015.72877 -257.41    2.97                          
2015.73151 -254.89    3.15                          
2015.73425 -254.00    3.19                          
2015.73699 -256.17    3.21                          
2015.73973 -255.40    3.88                          
2015.74247 -251.73    5.94                          
2015.74521 -251.22    5.10                          
2015.74795 -256.32    3.76                          
2015.75068 -253.19    4.86                          
2015.75342 -255.99    3.54                          
2015.75616 -254.07    3.59                          
2015.75890 -249.19    3.62                          
2015.76164 -253.93    3.25                          
2015.76438 -257.52    3.25                          
2015.76712 -255.84    2.88                          
2015.76986 -258.64    3.99                          
2015.77260 -256.35    3.13                          
2015.77534 -256.37    3.36                          
2015.77808 -255.88    3.23                          
2015.78082 -258.95    3.10                          
2015.78356 -256.41    2.92                          
2015.78630 -258.35    3.00                          
2015.78904 -257.61    3.06                          
2015.79178 -256.99    3.16                          
2015.79452 -257.22    3.58                          
2015.79726 -255.12    3.25                          
2015.80000 -251.62    4.48                          
2015.80274 -256.49    3.30                          
2015.80548 -256.35    4.07                          
2015.80822 -256.40    3.60                          
2015.81096 -254.53    3.20                          
2015.81370 -254.17    3.23                          
2015.81644 -255.51    2.86                          
2015.81918 -255.06    2.87                          
2015.82192 -257.95    3.06                          
2015.82466 -254.66    3.07                          
2015.82740 -255.29    3.08                          
2015.83014 -257.77    3.61                          
2015.83288 -256.43    3.63                          
2015.83562 -256.43    3.30                          
2015.83836 -254.80    3.32                          
2015.84110 -256.87    3.99                          
2015.84384 -253.61    3.59                          
2015.84658 -250.35    3.02                          
2015.84932 -253.26    3.44                          
